Symbol,Date,Close
ADBE,1/2/2015,72.34
ADBE,1/5/2015,71.98
ADBE,1/6/2015,70.53
ADBE,1/7/2015,71.11
ADBE,1/8/2015,72.92
ADBE,1/9/2015,71.84
ADBE,1/12/2015,71.12
ADBE,1/13/2015,70.59
ADBE,1/14/2015,69.99
ADBE,1/15/2015,70.29
ADBE,1/16/2015,71.73
ADBE,1/20/2015,71.49
ADBE,1/21/2015,71.54
ADBE,1/22/2015,73.48
ADBE,1/23/2015,74.06
ADBE,1/26/2015,72.74
ADBE,1/27/2015,71.46
ADBE,1/28/2015,70.25
ADBE,1/29/2015,71.64
ADBE,1/30/2015,70.13
ADBE,2/2/2015,71.11
ADBE,2/3/2015,71.92
ADBE,2/4/2015,72.28
ADBE,2/5/2015,73.1
ADBE,2/6/2015,72.54
ADBE,2/9/2015,72.33
ADBE,2/10/2015,72.76
ADBE,2/11/2015,73.01
ADBE,2/12/2015,74.59
ADBE,2/13/2015,76.51
ADBE,2/17/2015,77.13
ADBE,2/18/2015,77.73
ADBE,2/19/2015,77.73
ADBE,2/20/2015,78.55
ADBE,2/23/2015,78.1
ADBE,2/24/2015,77.68
ADBE,2/25/2015,78.07
ADBE,2/26/2015,78.96
ADBE,2/27/2015,79.1
ADBE,3/2/2015,79.79
ADBE,3/3/2015,78.99
ADBE,3/4/2015,77.63
ADBE,3/5/2015,78.62
ADBE,3/6/2015,77.55
ADBE,3/9/2015,77.93
ADBE,3/10/2015,76.01
ADBE,3/11/2015,76.01
ADBE,3/12/2015,77.4
ADBE,3/13/2015,77.62
ADBE,3/16/2015,78.33
ADBE,3/17/2015,79.66
ADBE,3/18/2015,76.89
ADBE,3/19/2015,77.14
ADBE,3/20/2015,77.36
ADBE,3/23/2015,76.35
ADBE,3/24/2015,75.45
ADBE,3/25/2015,73.13
ADBE,3/26/2015,72.97
ADBE,3/27/2015,73.31
ADBE,3/30/2015,73.6
ADBE,3/31/2015,73.94
ADBE,4/1/2015,75.07
ADBE,4/2/2015,75.68
ADBE,4/6/2015,76.23
ADBE,4/7/2015,75.65
ADBE,4/8/2015,75.44
ADBE,4/9/2015,76.33
ADBE,4/10/2015,76.53
ADBE,4/13/2015,76.02
ADBE,4/14/2015,75.95
ADBE,4/15/2015,76.03
ADBE,4/16/2015,75.15
ADBE,4/17/2015,73.15
ADBE,4/20/2015,73.92
ADBE,4/21/2015,74.62
ADBE,4/22/2015,75.5
ADBE,4/23/2015,76.52
ADBE,4/24/2015,76.54
