Symbol,Date,Close
NOW,1/2/2015,67.38
NOW,1/5/2015,67.15
NOW,1/6/2015,66.33
NOW,1/7/2015,67.09
NOW,1/8/2015,68.89
NOW,1/9/2015,67.11
NOW,1/12/2015,68.19
NOW,1/13/2015,67.27
NOW,1/14/2015,66.34
NOW,1/15/2015,63.63
NOW,1/16/2015,63.96
NOW,1/20/2015,64.83
NOW,1/21/2015,65.52
NOW,1/22/2015,66.14
NOW,1/23/2015,68.74
NOW,1/26/2015,68.01
NOW,1/27/2015,67.91
NOW,1/28/2015,68.91
NOW,1/29/2015,73.88
NOW,1/30/2015,72.9
NOW,2/2/2015,72.99
NOW,2/3/2015,72.65
NOW,2/4/2015,74.61
NOW,2/5/2015,74.22
NOW,2/6/2015,74.94
NOW,2/9/2015,72.88
NOW,2/10/2015,73.32
NOW,2/11/2015,73.88
NOW,2/12/2015,75.95
NOW,2/13/2015,77.55
NOW,2/17/2015,76.88
NOW,2/18/2015,77.48
NOW,2/19/2015,78.16
NOW,2/20/2015,79.06
NOW,2/23/2015,78.67
NOW,2/24/2015,78.75
NOW,2/25/2015,79.03
NOW,2/26/2015,79.53
NOW,2/27/2015,76.26
NOW,3/2/2015,76.44
NOW,3/3/2015,75.45
NOW,3/4/2015,73.6
NOW,3/5/2015,74.7
NOW,3/6/2015,74.06
NOW,3/9/2015,74.24
NOW,3/10/2015,73.59
NOW,3/11/2015,74.24
NOW,3/12/2015,76.66
NOW,3/13/2015,76.92
NOW,3/16/2015,78.65
NOW,3/17/2015,79.9
NOW,3/18/2015,80.05
NOW,3/19/2015,80.46
NOW,3/20/2015,79.38
NOW,3/23/2015,79.28
NOW,3/24/2015,79.25
NOW,3/25/2015,76.2
NOW,3/26/2015,77.03
NOW,3/27/2015,78.47
NOW,3/30/2015,79.44
NOW,3/31/2015,78.78
NOW,4/1/2015,75.65
NOW,4/2/2015,76.12
NOW,4/6/2015,78.24
NOW,4/7/2015,78.47
NOW,4/8/2015,80.84
NOW,4/9/2015,81.74
NOW,4/10/2015,82.34
NOW,4/13/2015,80.73
NOW,4/14/2015,80.2
NOW,4/15/2015,80.75
NOW,4/16/2015,82.84
NOW,4/17/2015,73.29
NOW,4/20/2015,74.64
NOW,4/21/2015,77.5
NOW,4/22/2015,77.72
NOW,4/23/2015,76.88
NOW,4/24/2015,76.09
NOW,4/27/2015,74.76
NOW,4/28/2015,74.99
NOW,4/29/2015,77.47
NOW,4/30/2015,74.86
NOW,5/1/2015,73.75
NOW,5/4/2015,73.61
NOW,5/5/2015,73.28
NOW,5/6/2015,73.3
NOW,5/7/2015,74.01
NOW,5/8/2015,73.91
NOW,5/11/2015,73.99
NOW,5/12/2015,74.26
NOW,5/13/2015,75.11
NOW,5/14/2015,76.05
NOW,5/15/2015,75.71
NOW,5/18/2015,77.26
NOW,5/19/2015,77.78
NOW,5/20/2015,77.45
NOW,5/21/2015,78.87
NOW,5/22/2015,78.76
NOW,5/26/2015,77.71
NOW,5/27/2015,78.39
NOW,5/28/2015,78.4
NOW,5/29/2015,76.61
NOW,6/1/2015,75.68
NOW,6/2/2015,75.38
NOW,6/3/2015,76.61
NOW,6/4/2015,75.46
NOW,6/5/2015,76.89
NOW,6/8/2015,74.67
NOW,6/9/2015,75.66
NOW,6/10/2015,77.7
NOW,6/11/2015,77.73
NOW,6/12/2015,77.94
NOW,6/15/2015,77.64
NOW,6/16/2015,79.4
NOW,6/17/2015,79.92
NOW,6/18/2015,80.97
NOW,6/19/2015,80.38
NOW,6/22/2015,80.32
NOW,6/23/2015,80.75
NOW,6/24/2015,77.47
NOW,6/25/2015,78.92
NOW,6/26/2015,77.02
NOW,6/29/2015,73.77
NOW,6/30/2015,74.31
NOW,7/1/2015,73.9
NOW,7/2/2015,74.53
NOW,7/6/2015,73.7
NOW,7/7/2015,75.68
NOW,7/8/2015,74.83
NOW,7/9/2015,76.18
NOW,7/10/2015,76.74
NOW,7/13/2015,76.6
NOW,7/14/2015,77.41
NOW,7/15/2015,77.58
NOW,7/16/2015,78.92
NOW,7/17/2015,78.92
NOW,7/20/2015,78.84
NOW,7/21/2015,78.57
NOW,7/22/2015,77.85
NOW,7/23/2015,78.02
NOW,7/24/2015,79.64
NOW,7/27/2015,76.34
NOW,7/28/2015,78.63
NOW,7/29/2015,77.98
NOW,7/30/2015,81.03
NOW,7/31/2015,80.5
NOW,8/3/2015,79.15
NOW,8/4/2015,77.91
NOW,8/5/2015,78.41
NOW,8/6/2015,75.99
NOW,8/7/2015,76.95
NOW,8/10/2015,76.59
NOW,8/11/2015,76.67
NOW,8/12/2015,76.85
NOW,8/13/2015,75.7
NOW,8/14/2015,76.63
NOW,8/17/2015,77.25
NOW,8/18/2015,75.89
NOW,8/19/2015,75.63
NOW,8/20/2015,70.31
NOW,8/21/2015,69.91
NOW,8/24/2015,68
NOW,8/25/2015,68.67
NOW,8/26/2015,71.41
NOW,8/27/2015,72.36
NOW,8/28/2015,72.54
NOW,8/31/2015,70.96
NOW,9/1/2015,68.92
NOW,9/2/2015,69.95
NOW,9/3/2015,71.22
NOW,9/4/2015,69.79
NOW,9/8/2015,73.33
NOW,9/9/2015,72.02
NOW,9/10/2015,72.66
NOW,9/11/2015,73.6
NOW,9/14/2015,73.56
NOW,9/15/2015,74.26
NOW,9/16/2015,73.94
NOW,9/17/2015,74.61
NOW,9/18/2015,74.36
NOW,9/21/2015,74.41
NOW,9/22/2015,73.06
NOW,9/23/2015,72.99
NOW,9/24/2015,72.12
NOW,9/25/2015,72.86
NOW,9/28/2015,69.03
NOW,9/29/2015,68.94
NOW,9/30/2015,69.45
NOW,10/1/2015,71.58
NOW,10/2/2015,72.23
NOW,10/5/2015,76.47
NOW,10/6/2015,74.58
NOW,10/7/2015,74.97
NOW,10/8/2015,73.02
NOW,10/9/2015,74.42
NOW,10/12/2015,74.28
NOW,10/13/2015,74.16
NOW,10/14/2015,73.9
NOW,10/15/2015,75.64
NOW,10/16/2015,76.46
NOW,10/19/2015,75.79
NOW,10/20/2015,74.73
NOW,10/21/2015,73.02
NOW,10/22/2015,77.95
NOW,10/23/2015,78.89
NOW,10/26/2015,78.8
NOW,10/27/2015,80.17
NOW,10/28/2015,82.15
NOW,10/29/2015,81.56
NOW,10/30/2015,81.65
NOW,11/2/2015,82.02
NOW,11/3/2015,82.53
NOW,11/4/2015,83.84
NOW,11/5/2015,83.91
NOW,11/6/2015,85.24
NOW,11/9/2015,84.6
NOW,11/10/2015,84.15
NOW,11/11/2015,83.9
NOW,11/12/2015,84.5
NOW,11/13/2015,82.88
NOW,11/16/2015,84.37
NOW,11/17/2015,84.91
NOW,11/18/2015,85.75
NOW,11/19/2015,85.75
NOW,11/20/2015,86.19
NOW,11/23/2015,86.46
NOW,11/24/2015,86.7
NOW,11/25/2015,86.89
NOW,11/27/2015,87.29
NOW,11/30/2015,87.01
NOW,12/1/2015,86.47
NOW,12/2/2015,87.53
NOW,12/3/2015,88.09
NOW,12/4/2015,89.99
NOW,12/7/2015,87.98
NOW,12/8/2015,87.72
NOW,12/9/2015,86.1
NOW,12/10/2015,86.94
NOW,12/11/2015,83.49
NOW,12/14/2015,83.57
NOW,12/15/2015,85.6
NOW,12/16/2015,87.39
NOW,12/17/2015,87.27
NOW,12/18/2015,85.73
NOW,12/21/2015,87.02
NOW,12/22/2015,86.48
NOW,12/23/2015,86.89
NOW,12/24/2015,86.96
NOW,12/28/2015,86.89
NOW,12/29/2015,88.12
NOW,12/30/2015,87.38
NOW,12/31/2015,86.56
NOW,1/4/2016,84.07
NOW,1/5/2016,84
NOW,1/6/2016,81.42
NOW,1/7/2016,79.64
NOW,1/8/2016,78.12
NOW,1/11/2016,78.53
NOW,1/12/2016,80.99
NOW,1/13/2016,76.79
NOW,1/14/2016,78.21
NOW,1/15/2016,76.34
NOW,1/19/2016,74.32
NOW,1/20/2016,74.31
NOW,1/21/2016,74.41
NOW,1/22/2016,76.67
NOW,1/25/2016,76.1
NOW,1/26/2016,77.96
NOW,1/27/2016,75.37
NOW,1/28/2016,63.57
NOW,1/29/2016,62.21
NOW,2/1/2016,61.96
NOW,2/2/2016,57.25
NOW,2/3/2016,59.3
NOW,2/4/2016,58.62
NOW,2/5/2016,52.31
NOW,2/8/2016,47.14
NOW,2/9/2016,48.52
NOW,2/10/2016,49.99
NOW,2/11/2016,49.03
NOW,2/12/2016,50.08
NOW,2/16/2016,52.04
NOW,2/17/2016,55.26
NOW,2/18/2016,54.26
NOW,2/19/2016,54.74
NOW,2/22/2016,54.69
NOW,2/23/2016,53.01
NOW,2/24/2016,52.55
NOW,2/25/2016,54.16
NOW,2/26/2016,55.51
NOW,2/29/2016,54.99
NOW,3/1/2016,57.85
NOW,3/2/2016,57.66
NOW,3/3/2016,58.36
